Tipologia_API;Zona;Data;Valore
uniqueUserZone;OWM Zona4;2020-03-27 00:00:00+01:00;193
uniqueUserZone;OWM Zona3;2020-03-27 00:00:00+01:00;238
uniqueUserZone;OWM Zona2;2020-03-27 00:00:00+01:00;147
uniqueUserZone;OWM Zona1;2020-03-27 00:00:00+01:00;174
uniqueUserZone;OWM Zona9;2020-03-26 00:00:00+01:00;160
uniqueUserZone;OWM Zona8;2020-03-26 00:00:00+01:00;127
uniqueUserZone;OWM Zona7;2020-03-26 00:00:00+01:00;155
uniqueUserZone;OWM Zona6;2020-03-26 00:00:00+01:00;164
uniqueUserZone;OWM Zona5;2020-03-26 00:00:00+01:00;108
uniqueUserZone;OWM Zona4;2020-03-26 00:00:00+01:00;141
uniqueUserZone;OWM Zona3;2020-03-26 00:00:00+01:00;161
uniqueUserZone;OWM Zona2;2020-03-26 00:00:00+01:00;115
uniqueUserZone;OWM Zona1;2020-03-26 00:00:00+01:00;116
uniqueUserZone;OWM Zona9;2020-03-25 00:00:00+01:00;186
uniqueUserZone;OWM Zona8;2020-03-25 00:00:00+01:00;152
uniqueUserZone;OWM Zona7;2020-03-25 00:00:00+01:00;179
uniqueUserZone;OWM Zona6;2020-03-25 00:00:00+01:00;210
uniqueUserZone;OWM Zona5;2020-03-25 00:00:00+01:00;145
uniqueUserZone;OWM Zona4;2020-03-25 00:00:00+01:00;177
uniqueUserZone;OWM Zona3;2020-03-25 00:00:00+01:00;217
uniqueUserZone;OWM Zona2;2020-03-25 00:00:00+01:00;136
uniqueUserZone;OWM Zona1;2020-03-25 00:00:00+01:00;160
uniqueUserZone;OWM Zona9;2020-03-24 00:00:00+01:00;198
uniqueUserZone;OWM Zona8;2020-03-24 00:00:00+01:00;177
uniqueUserZone;OWM Zona7;2020-03-24 00:00:00+01:00;210
uniqueUserZone;OWM Zona6;2020-03-24 00:00:00+01:00;253
uniqueUserZone;OWM Zona5;2020-03-24 00:00:00+01:00;116
uniqueUserZone;OWM Zona4;2020-03-24 00:00:00+01:00;188
uniqueUserZone;OWM Zona3;2020-03-24 00:00:00+01:00;238
uniqueUserZone;OWM Zona2;2020-03-24 00:00:00+01:00;159
uniqueUserZone;OWM Zona1;2020-03-24 00:00:00+01:00;164
uniqueUserZone;OWM Zona9;2020-03-23 00:00:00+01:00;168
uniqueUserZone;OWM Zona8;2020-03-23 00:00:00+01:00;186
uniqueUserZone;OWM Zona7;2020-03-23 00:00:00+01:00;196
uniqueUserZone;OWM Zona6;2020-03-23 00:00:00+01:00;231
uniqueUserZone;OWM Zona5;2020-03-23 00:00:00+01:00;121
uniqueUserZone;OWM Zona4;2020-03-23 00:00:00+01:00;186
uniqueUserZone;OWM Zona3;2020-03-23 00:00:00+01:00;225
uniqueUserZone;OWM Zona2;2020-03-23 00:00:00+01:00;144
uniqueUserZone;OWM Zona1;2020-03-23 00:00:00+01:00;151
uniqueUserZone;OWM Zona9;2020-03-22 00:00:00+01:00;153
uniqueUserZone;OWM Zona8;2020-03-22 00:00:00+01:00;153
uniqueUserZone;OWM Zona7;2020-03-22 00:00:00+01:00;152
uniqueUserZone;OWM Zona6;2020-03-22 00:00:00+01:00;218
uniqueUserZone;OWM Zona5;2020-03-22 00:00:00+01:00;97
uniqueUserZone;OWM Zona4;2020-03-22 00:00:00+01:00;136
uniqueUserZone;OWM Zona3;2020-03-22 00:00:00+01:00;178
uniqueUserZone;OWM Zona2;2020-03-22 00:00:00+01:00;106
uniqueUserZone;OWM Zona1;2020-03-22 00:00:00+01:00;118
uniqueUserZone;OWM Zona9;2020-03-21 00:00:00+01:00;188
uniqueUserZone;OWM Zona8;2020-03-21 00:00:00+01:00;173
uniqueUserZone;OWM Zona7;2020-03-21 00:00:00+01:00;188
uniqueUserZone;OWM Zona6;2020-03-21 00:00:00+01:00;273
uniqueUserZone;OWM Zona5;2020-03-21 00:00:00+01:00;124
uniqueUserZone;OWM Zona4;2020-03-21 00:00:00+01:00;188
uniqueUserZone;OWM Zona3;2020-03-21 00:00:00+01:00;248
uniqueUserZone;OWM Zona2;2020-03-21 00:00:00+01:00;137
uniqueUserZone;OWM Zona1;2020-03-21 00:00:00+01:00;146
uniqueUserZone;OWM Zona9;2020-03-20 00:00:00+01:00;223
uniqueUserZone;OWM Zona8;2020-03-20 00:00:00+01:00;206
uniqueUserZone;OWM Zona7;2020-03-20 00:00:00+01:00;228
uniqueUserZone;OWM Zona6;2020-03-20 00:00:00+01:00;291
uniqueUserZone;OWM Zona5;2020-03-20 00:00:00+01:00;150
uniqueUserZone;OWM Zona4;2020-03-20 00:00:00+01:00;210
uniqueUserZone;OWM Zona3;2020-03-20 00:00:00+01:00;281
uniqueUserZone;OWM Zona2;2020-03-20 00:00:00+01:00;178
uniqueUserZone;OWM Zona1;2020-03-20 00:00:00+01:00;212
uniqueUserZone;OWM Zona9;2020-03-19 00:00:00+01:00;206
uniqueUserZone;OWM Zona8;2020-03-19 00:00:00+01:00;213
